oid,filter,mjd,mag,magerr,clrcoeff
771215300014928,zr,58494.09161,14.616536,0.01025157,0.06520312
771115300032928,zg,58494.13632,15.009561,0.010106411,-0.038663335
771115300032928,zg,58503.17992,15.026687,0.010121979,-0.022375567
771115300032928,zg,58509.15984,15.025476,0.010120869,-0.034582395
771215300014928,zr,58601.49361,14.606973,0.010246295,0.07944273
771115300032928,zg,58607.47456,15.026318,0.01012164,-0.052007616
771215300014928,zr,58607.49215,14.594755,0.010239637,0.08053987
771115300032928,zg,58617.46905,15.024384,0.010119871,-0.029190628
771215300014928,zr,58634.42852,14.607504,0.010246587,0.077581905
771115300032928,zg,58634.46608,15.01823,0.010114261,-0.060440667
771215300014928,zr,58637.42848,14.563025,0.010222765,0.07781412
771115300032928,zg,58637.46936,15.00966,0.0101065,-0.045943137
771115300032928,zg,58640.45422,15.014171,0.010110578,-0.05661068
771215300014928,zr,58640.4706,14.591283,0.010237761,0.07588892
771115300032928,zg,58643.44738,15.024462,0.010119941,-0.03993933
771215300014928,zr,58643.46725,14.599746,0.010242347,0.07645288
771215300014928,zr,58646.47082,14.608563,0.010247169,0.076572746
771115300032928,zg,58649.47786,15.01655,0.010112735,-0.058574215
771215300014928,zr,58652.42502,14.601255,0.010243167,0.07627702
771115300032928,zg,58652.46729,15.024859,0.010120305,-0.03713331
1807207300003080,zr,58655.39878,14.606146,0.010699557,0.08559249
1807207300003080,zr,58655.39923,14.617414,0.010705421,0.08487281
771215300014928,zr,58655.45264,14.620538,0.0102537945,0.08243678
771115300032928,zg,58655.46818,15.028232,0.0101233935,-0.04613497
771215300014928,zr,58658.4058,14.610191,0.010248064,0.07892178
771115300032928,zg,58658.47396,15.022986,0.010118594,-0.059438396
771215300014928,zr,58661.43358,14.606157,0.0102458475,0.081203796
771115300032928,zg,58661.46648,15.025614,0.010120995,-0.052119818
771215300014928,zr,58665.44512,14.617002,0.010251829,0.074137084
771115300032928,zg,58665.47206,15.011864,0.0101084905,-0.049008425
771215300014928,zr,58668.36298,14.622635,0.010254963,0.07838716
1807207300003080,zr,58672.48307,14.612561,0.010702888,0.07963802
1807207300003080,zr,58672.48352,14.611787,0.010702484,0.07890332
771215300014928,zr,58674.47227,14.598838,0.010241852,0.07857361
771215300014928,zr,58675.36878,14.804336,0.0103672445,0.07760334
771215300014928,zr,58675.36923,14.804006,0.01036702,0.08026071
771215300014928,zr,58675.38649,14.721304,0.010313166,0.072393194
771215300014928,zr,58675.38739,14.707832,0.010304843,0.07766435
771215300014928,zr,58675.39123,14.703094,0.010301944,0.07705056
771215300014928,zr,58675.41114,14.65627,0.010274098,0.07645607
771215300014928,zr,58675.42358,14.604586,0.010244988,0.07551592
771215300014928,zr,58675.43763,14.575671,0.010229417,0.07768023
771215300014928,zr,58675.43809,14.594628,0.010239569,0.07878181
771215300014928,zr,58676.3756,14.827468,0.010383194,0.07716676
771215300014928,zr,58676.37969,14.805464,0.010368013,0.07763899
771215300014928,zr,58676.39445,14.730225,0.010318745,0.07570317
771215300014928,zr,58676.39812,14.713212,0.010308151,0.07737697
771215300014928,zr,58676.4131,14.667648,0.010280733,0.07762182
771215300014928,zr,58676.41355,14.66075,0.0102767,0.07489897
771215300014928,zr,58677.30364,14.795827,0.010361477,0.081792794
771215300014928,zr,58677.36564,14.886506,0.010425739,0.07621111
771215300014928,zr,58677.36609,14.878458,0.01041978,0.07291213
771215300014928,zr,58677.39539,14.754368,0.010334119,0.07533001
771215300014928,zr,58677.39748,14.764664,0.0103408,0.07593104
771215300014928,zr,58677.40758,14.693646,0.01029621,0.07610859
771215300014928,zr,58677.4282,14.632304,0.010260392,0.082337774
771215300014928,zr,58677.42865,14.612488,0.010249331,0.08159967
771115300032928,zg,58677.45327,15.0166025,0.010112782,-0.051148545
771215300014928,zr,58678.34506,14.976744,0.01049614,0.07136348
771215300014928,zr,58678.34551,14.953591,0.010477434,0.07376812
771215300014928,zr,58678.35795,14.95236,0.010476451,0.074590825
771215300014928,zr,58678.36616,14.947855,0.0104728695,0.07572132
771215300014928,zr,58678.4001,14.789733,0.010357379,0.07584365
771215300014928,zr,58678.41676,14.70208,0.0103013255,0.07908467
771215300014928,zr,58678.41721,14.71217,0.0103075085,0.07739306
771215300014928,zr,58679.36005,14.948578,0.010473442,0.07094252
771215300014928,zr,58679.3605,14.94379,0.01046965,0.07165241
771215300014928,zr,58679.39465,14.858742,0.010405396,0.07364957
771215300014928,zr,58679.3951,14.843356,0.010394381,0.076023884
